fascode	module	a2x	a2	a2a	a2b	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a6a	a6b	a7	a8	a9	a10	a10a	a11	a12ax	a12bx	a12cx	a12dx	a12ex	a12fx	a12f1	a12e1	a12d1	a26	a27x	a27	a17	a18	a19	a20	a21	commid07	fcode07	a2e	a4mthx	a4yrx	bookt	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16f	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk010700	lk020700	lk030700	lk010707	lk020707	lk030707	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb3t	pb4	pb5	ph00	ph01	idivwr	editor	numvis	ivwday1	ivwday2	ivwday3	ivwmth1	ivwmth2	ivwmth3	ivwyr1	ivwyr2	ivwyr3	beghr1	beghr2	beghr3	begmin1	begmin2	begmin3	endhr1	endhr2	endhr3	endmin1	endmin2	endmin3	result1	result2	result3	langmain	langothr	fp2	fp3	fp4	fp5	fp6a	fp6b	fp6c	cp1a	cp1b	cp1c	cp2a	cp2b	cp2c	cp3a	cp3b	cp3c	cp4a	cp4b	cp4c	hpr1	hpr3	hpr4	hpr5	hpr11a	hpr11b	hpr11c	hpr11d	hpr11e	hpr11f	hpr11g	hpr11h	hpr11i	hpr11j	hpr11k	hpr11l	hpr11m	hpr11n	hpr11o	hpr12a	hpr12b	hpr12c	hpr12d	hpr12e	hpr12f	hpr12g	hpr12h	hpr12i	hpr12j	hpr12k	hpr12l	hpr12m	hpr12n	hpr13a	hpr13b	hpr13c	hpr13d	hpr13e	hpr13f	hpr13g	hpr13h	hpr14a	hpr14b	hpr14c	hpr14d	hpr14e	hpr14f	hpr14g	hpr15	hpr17	hpr18	hpr19	hpr25a	hpr25b	hpr25c	hpr25d	hpr25e	hpr25f	hpr25g	hpr25h	hpr25i	hpr25j	hpr25k	hpr25l	hpr25m	hpr25n	hpr25o	hpr25q	hpr26a	hpr26b	hpr26c	hpr26d	hpr26e	hpr26f	hpr26g	hpr26h	hpr26i	hpr26j	hpr26k	hpr26l	hpr26m	hpr26n	hpr27a	hpr27b	hpr27c	hpr27d	hpr27e	hpr27f	hpr27g	hpr27h	hpr27i	hpr27j	hpr28a	hpr28b	hpr28c	hpr28d	hpr28e	hpr28f	hpr28g	hpr28h	hpr28i	hpr29a	hpr29b	hpr29c	hpr29d	hpr29e	hpr29f	hpr29g	hpr29h	hpr30	hpr32	hpr33	hpr34	hpr40a	hpr40b	hpr40c	hpr40d	hpr40e	hpr40f	hpr40g	hpr40h	hpr40i	hpr40j	hpr40k	hpr40l	hpr40m	hpr40n	hpr40o	hpr41a	hpr41b	hpr41c	hpr41d	hpr41e	hpr41f	hpr41g	hpr41h	hpr41i	hpr41k	hpr41l	hpr42b	hpr42c	hpr42d	hpr42e	hpr42f	hpr42g	hpr42h	hpr42i	hpr42j	hpr42k	hpr42l	hpr42m	hpr42n	hpr42o	hpr42p	hpr42q	hpr43b	hpr43c	hpr43d	hpr44a	hpr44b	hpr44c	hpr44d	hpr44e	hpr44f	hpr44g	hpr44h	hpr44i	hpr44j	hpr44k	hpr45	hpr47	hpr48	hpr49	hpr55a	hpr55b	hpr55c	hpr55d	hpr55e	hpr55f	hpr55g	hpr55h	hpr56a	hpr56b	hpr56c	hpr56d	hpr56e	hpr57a	hpr57b	hpr57c	hpr57d	hpr57e	hpr57f	hpr57g	hpr57h	hpr57i	hpr57j	hpr57k	hpr57l	hpr57m	hpr57n	hpr58a	hpr58b	hpr58c	hpr58d	hpr58e	hpr58f	hpr58g	hpr58h	hpr58i	hpr59a	hpr59b	hpr59c	hpr59d	hpr59e	hpr59f	hpr59g	hpr59h	hpr59i	hpr59j	hpr59k	hpr59l	hpr59m	hpr60a	hpr60b	hpr60c	hpr60d	hpr60e	hpr60f	hpr60g	hpr60h	hpr60i	hpr60j	hpr60k	hpr6_1	hpr7_1	hpr8_1	hpr6_2	hpr7_2	hpr8_2	hpr6_3	hpr7_3	hpr8_3	hpr6_4	hpr7_4	hpr8_4	hpr20_1	hpr21_1	hpr22_1	hpr20_2	hpr21_2	hpr22_2	hpr20_3	hpr21_3	hpr22_3	hpr20_4	hpr21_4	hpr22_4	hpr35_1	hpr36_1	hpr37_1	hpr35_2	hpr36_2	hpr37_2	hpr35_3	hpr36_3	hpr37_3	hpr35_4	hpr36_4	hpr37_4	hpr35_5	hpr36_5	hpr37_5	hpr35_6	hpr36_6	hpr37_6	hpr35_7	hpr36_7	hpr37_7	hpr50_1	hpr51_1	hpr52_1	hpr50_2	hpr51_2	hpr52_2	hpr50_3	hpr51_3	hpr52_3	hpr50_4	hpr51_4	hpr52_4	hpr50_5	hpr51_5	hpr52_5	hpr50_6	hpr51_6	hpr52_6	hpr50_7	hpr51_7	hpr52_7
"0872252"	"PRA"	1	30	1							7	1996	2002	2	0	2	3	3	3		1	1	3														1	1	1	1		"3118"	"31172252"		"3"	"1"	"PRA"	3																				1	11	5	17	5	3	2	3	3	1	3	1	1	1	1		3								"B"	1	2	"F71"	"F86"	"F51"	"F11"	3	3	3	3	31	73	60	31	73	60	1	5	"A"	5										5	1	1	3		"F71"	"F86"	1	24			5			8			20			15			21			3			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1996	1	1	1	2	2	2	2	1	1	2	2	1	2	1	2	2	1	2	2	3	3	2	2	1	1	2	2	1	2	2	1	1	1	2	2	2	3	1	1	1	1	3	3	3	3	1	1	1996	1	1	2	1	2	2	2	2	3	3	2	1	1	2	1	2	2	1	3	3	2	3	3	2	2	3	1	3	1	1	2	1	3	1	3	3	3	3	3	1	1	3	1	3	3	3	3	3	2	3	1	2	2	3	2	2	1	2	1	1	1996	1	1	1	1	2	2	2	1	2	2	1	1	3	2	2	3	2	1	3	2	1	2	2	2	2	1	1	1	1	2	2	1	1	3	2	2	1	2	2	2	3	2	2	3	1	3	1	2	3	3	2	2	3	3	2	3	1	3																																																																3			3			1	3	1	1	3	1	3			3			3			3			1	3	1	1	3	1	3			3			1	1		3			3																							
"0872257"	"PRA"	1	38	1							7	1988	1996	12	0	1	3	3	3		1	3	1	1	1	1	8	1	3	3	31	73	40	4	1	42	1	1	1	1		"3117"	"31172257"		"3"	"1"	"PRA"	3																				1	12	5	17	5	3	2	3	1	3		1	1	1	1		3								"W"	1	1	"F73"	"F86"	"F51"	"F11"	3	3	3	3	31	73	60	31	73	60	3																3		"F73"	"F86"	1	19			5			8			17			15			18			57			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1988	1	1	1	2	1	2	2	1	3	2	3	2	2	2	2	2	3	3	2	2	3	3	2	1	2	1	1	1	1	2	1	2	1	2	2	2	1	1	3	3	2	3	3	3	3	1	1	1988	1	1	3	1	1	1	2	2	1	2	2	1	2	2	1	2	3	2	3	2	3	3	3	2	1	2	1	3	1	1	1	1	3	1	2	2	3	2	3	1	1	3	1	3	3	3	3	3	3	3	1	1	1	2	3	2	2	2	1	1	1988	1	1	2	1	2	2	1	2	2	3	1	2	3	1	1	3	1	2	3	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	3	2	2	1	3	3	2	3	1	2	2	2	2	2	1	3	1	3	1	3																																																																3			1	3	1	3			1	3	1	3			1	3	1	1	3	1	1	3	1	3			1	3	1	1	3	1	3			1	3	1	3			3																							
"0873013"	"PRA"	1	71	3	2	3							1956	52	0	1	3	3	3		1	1	3														1	1	2	1		"3117"	"31173013"		"3"	"1"	"PRA"	3																				1	11	5	17	5	3	3	3	3	1	3	6	1	1	1		3								"B"	1	3	"F71"	"F86"	"F51"	"F11"	3	3	3	3	31	73	60	31	73	60	1	2	"G"							2				2	1	1	3		"F71"	"F86"	1	19			5			8			17			3			18			15			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													3																																																												1	4	1957	1	1	1	2	1	1	2	2	2	1	2	1	1	2	1	1	2	2	1	2	2	2	2	1	2	1	2	1	1	1	1	3	2	2	3	1	2	1	1	3	3	3	3	3	3	3	3	3	3	2	1	2	2	2	3	2	2	2	2	1	1																																														1	3	3	1	1		1	3	1	3			1	3	3	1	3	3	3		
"0862052"	"PRA"	1	69	1							1	1968	1984	24	0	1	3	1	1	1	1	3	3														1	1	1	1		"3115"	"31182052"		"3"	"1"	"PRA"	3																				1	19	5	24	5	3	2	3	3	3		1	1	1	1		3								"W"	1	1	"F73"	"F86"	"F51"	"F11"	3	3	3	3	31	73	60	31	73	60	3																1	2	"F73"	"F86"	2	27	28		5	5		8	8		19	19		12	30		20	20		37	12		2	1		0	96	1	1		2	3	1	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1968	1	1	1	2	1	1	3	1	3	2	3	2	2	2	2	2	2	3	2	3	3	3	3	1	2	1	1	1	1	2	1	1	1	3	3	3	2	1	3	3	2	3	3	3	3	1	1	1968	1	1	2	1	1	1	1	3	1	3	2	1	3	3	2	3	3	2	1	3	3	3	3	3	2	2	2	3	1	1	2	1	2	1	2	3	3	3	3	1	2	3	1	3	3	3	3	2	3	3	1	1	1	3	3	2	2	2	1	1	1968	1	1	2	1	3	3	2	2	2	2	1	1	3	2	2	3	2	3	3	2	1	2	1	2	2	1	1	1	1	2	1	2	3	2	2	1	1	1	2	3	3	2	3	3	2	3	1	1	2	2	2	2	1	3	2	3	2	3																																																																1	3	1	1	3	1	1	3	1	1	3	1	1	3	1	1	3	1	1	3	1	1	3	1	3			1	3	1	1	3	1	1	3	1	1	3	1	3			3																							
"0862101"	"PRA"	1	25	1							1	2008	1997	10	0	4	3	3	3		1	1	3														1	1	1	1		"3118"	"31182101"		"3"	"1"	"PRA"	3																				1	11	5	17	5	3	2	3	3	1	3	1	1	1	1		3								"B"	1	2	"F71"	"F86"	"F51"	"F11"	3	3	3	3	31	73	60	31	73	60	1	12	"AF"	8					4					12	3	1	3		"F71"	"F86"	1	24			5			8			21			30			22			37			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	2008	3	1	1	1	1	2	2	2	1	1	2	1	2	2	2	2	1	2	2	2	3	2	2	1	2	2	1	2	1	1	1	1	2	2	2	2	3	1	1	3	1	3	3	3	3	1	1	2008	3	1	2	2	2	3	2	1	3	3	3	1	1	1	2	2	2	3	3	2	2	3	3	2	1	2	2	3	1	1	2	3	1	1	3	3	2	3	3	1	2	3	1	3	2	3	3	3	1	3	2	1	2	2	2	3	1	2	1	1	2008	3	1	1	1	2	1	2	1	2	1	2	1	3	1	2	3	2	1	3	2	1	3	2	1	2	1	3	1	1	2	1	2	2	2	3	1	3	1	2	2	3	1	1	3	3	3	1	1	2	3	2	2	3	3	2	3	2	3																																																																																																																																	
"0862250"	"PRA"	1	35	1							7	1998	9998	3	0	3	3	3	1	3	1	1	1	11	1	1	1	1	1	3	31	71	30	5	1	30	1	1	2	1		"3118"	"31182250"		"3"	"1"	"PRA"	3																				1	11	5	17	5	3	2	3	3	1	3	1	1	1	1		3								"B"	1	2	"F71"	"F86"	"F51"	"F11"	3	3	3	3	31	73	60	31	73	60	1	5	"AF"	3					2					5	1	1	3		"F71"	"F86"	1	24			5			8			17			11			19			0			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1998	1	1	1	2	1	1	2	2	1	1	2	1	2	2	2	2	1	1	2	3	3	2	1	1	2	1	2	1	2	2	1	1	1	3	2	2	3	2	1	3	1	3	3	3	3	1	1	1998	3	1	1	2	2	3	2	2	3	3	3	2	1	1	2	2	2	3	3	1	2	3	3	3	2	2	1	3	1	1	1	1	3	1	3	3	2	3	1	1	1	3	1	3	3	3	3	3	1	3	2	1	1	2	2	3	1	2	1	1	1998	1	1	2	1	2	2	2	1	2	2	1	2	3	1	2	3	2	1	3	2	1	2	2	1	2	1	2	1	1	2	2	2	2	2	3	1	2	2	1	2	3	1	1	3	3	3	1	1	2	2	3	2	2	3	2	3	1	3																																																																3			3			1	1		1	1														1	3	1	1	1		1	3	1	3			1	3	1	3			3																							
"0882064"	"PRA"	1	40	1							7	1996	9998	98	98	95	3	1	1	3	1	1	1	11	1	1	8	8	8	3	31	98	998	5	1	40	1	1	1	1		"3119"	"31192064"		"1"	"1"	"PRA"	3																				1	25	5	31	5	1	2	3	3	3		1	1	1	1		3								"W"	1	2	"E72"	"I86"	"I51"	"F11"	3	3	3	3	31	73	70	31	73	70	1	2	"A"	2										2	1	1	3		"E72"	"I86"	1	2			6			8			12			10			13			15			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1996	1	1	1	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	2	2	2	3																																																													1	1	1996	1	1	1	1	2	2	1	2	2	1	1	1	2	2	1	2	1	2	2	1	1	1	1	2	2	2	1	1	1	2	2	1	2	3	1	1	2	2	2	3	2	2	3	2	1	2	1	1	1	2	2	1	1	3	2	3	1	1	1	1996	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	1	1	1	2	3	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	3	3	1	1	1	1	1		1	1		1	1		1	1														3			1	1		3			3			3			3			3			3			3			3			3			3			3			3		
"0882069"	"PRA"	1	62	1							6	1973	1974	34	98	3	3	3	3		1	3	3														1	1	1	1		"3119"	"31192069"		"1"	"1"	"PRA"	3																				1	25	5	31	5	1	2	3	3	3		6	1	1	1		3								"W"	1	1	"U71"	"I86"	"I51"	"F11"	3	3	3	3	31	73	70	31	73	70	3																3		"U71"	"I86"	1	2			6			8			12			16			13			22			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1973	1	1	2	2	1	2	3	1	2	3	2	3	3	3	3	3	2	3	2	2	3	1	1	1	3	3	3	2	1	3	2	1	2	2	2	2	2	1	2	3	2	3	3	3	3	1	1	1973	1	2	2	1	1	3	3	3	3	3	3	3	1	2	1	3	2	2	2	2	3	1	3	3	1	3	3	3	2	1	1	1	3	1	1	2	2	2	3	1	1	3	3	3	3	3	3	3	3	3	2	1	2	3	1	2	2	1	1	1	1973	1	3	1	2	2	1	3	3	2	2	2	1	3	2	2	3	2	2	3	3	1	2	1	3	3	3	2	2	2	1	1	2	3	3	1	1	2	2	3	2	2	1	3	3	1	3	1	1	1	2	1	1	3	3	2	3	1	3																																																																1	3	3	1	3	3	3			3			1	3	3	1	3	3	3			3			3			3			3			3			3			3			3																							
"0882251"	"PRA"	1	43	1							1	1991	1992	10	98	1	3	3	3		1	1	1	2	1	1	1	1	3	3	31	73	80	4	1	46	1	1	1	1		"3119"	"31192251"		"1"	"1"	"PRA"	3																				1	25	5	31	5	3	2	3	3	3		1	1	1	1		3								"W"	1	1	"E72"	"I86"	"I51"	"F11"	3	3	3	3	31	73	70	31	73	70	3																3		"E72"	"I86"	1	2			6			8			20			30			21			50			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1991	1	1	1	2	2	1	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2	1	1	1991	1	1	1	1	1	2	2	2	1	2	2	1	1	2	2	1	1	2	2	2	2	2	1	2	2	1	2	3	1	1	1	1	3	2	1	2	2	2	2	1	2	3	3	2	3	1	2	2	1	2	1	1	1	2	2	2	1	2	1	1	1991	1	1	1	2	2	1	2	1	2	2	1	2	1	1	2	2	1	2	2	2	1	2	2	2	3	1	1	1	1	2	1	2	3	3	1	1	2	2	2	2	2	2	3	2	1	2	1	1	1	2	2	2	1	3	2	3	1	1	1	1991	1	1	1	2	2	1	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	2	3	2	1	1	1	1	2	2	2	2	3	3	2	2	2	2	2	1	1	1	2	2	1	3	3	1	1	1	3			3			1	3	1	1	3	1	3			3			1	3	1	1	3	1	3			3			3			3			3			3			3			3			3			3			3			3			3			3		
"0883013"	"PRA"	1	50	3	4	1	1	1	1	1			1980	21	7	1	3	3	3		1	3	1	5	1	1	8	8	8	3	31	98	998	4	1	35	1	1	1	1		"3128"	"31193013"	99999998	"1"	"1"	"PRA"	3																				1	18	5	24	5	1	3	3	3	3		1	1	1	1		3								"A"	1	3	"G72"	"G87"	"G52"	"F11"	3	3	1	1	31	73	70	31	73	70	1	5	"CGH"			1				2	2			5	1	1	3		"G72"	"G87"	1	26			5			8			18			30			19			45			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			3																																																3																																																													1	4	1982	1	2	1	1	1	1	2	2	2	1	3	3	3	2	3	3	2	2	3	3	3	1	1	3	3	2	2	2	2	2	3	1	3	3	2	1	2	2	3	3	3	3	3	3	3	3	2	1	2	3	3	2	2	3	3	3	2	1	4	1982	1	1	3	3	3	1	2	3	1	1	1	1	1	1	2	2	3	2	2	2	1	3	1	3	2	2	2	3	3	1	1	1	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	2	2	2	2	1	3	3	2	1	2																									1	3	3	3			3			3			1	3	3	3			1	3	3	1	3	1	3			1	3	3	3			3			1	3	3	1	3	1
"0883050"	"PRA"	1	40	3	1	3							1991	17	98	1	3	3	3		1	1	1	2	1	1	1	1	3	3	31	73	30	4	1	40	1	1	1	1		"3119"	"31193050"		"1"	"1"	"PRA"	3																				1	25	5	31	5	1	5	3	3	1	3	6	1	1	1		3								"W"	1	2	"U71"	"I86"	"I51"	"F11"	3	3	3	3	31	73	70	31	73	70	3																3		"U71"	"I86"	1	2			6			8			19			20			20			29			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	3	1987	1	2	2	2	1	2	2	1	2	2	1	2	2	2	2	2	2	3	2	2	3	2	2	1	2	2	3	2	1	3	1	2	1	2	2	2	1	1	3	3	2	3	3	3	3	3																																																													1	3	1987	1	1	1	2	2	2	1	2	2	1	2	2	2	1	2	2	2	2	3	3	2	2	1	2	3	1	1	2	1	2	1	2	3	2	2	1	2	2	3	2	2	1	3	3	1	3	2	1	2	2	2	1	2	3	2	3	1	3																																																																3			3			3			3															3			3			3			3			3			3			3																							
"0883052"	"PRA"	1	35	1							7	1992	9998	3	98	95	3	3	3		1	1	3														1	1	1	1		"3119"	"31193052"		"1"	"1"	"PRA"	3																				1	25	5	31	5	1	5	3	3	1	3	6	1	1	1		3								"W"	1	2	"U71"	"I86"	"I51"	"F11"	3	3	3	3	31	73	70	31	73	70	3																3		"U71"	"I86"	1	4			6			8			8			15			8			58			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1992	3	1	2	2	1	2	2	1	2	3	2	3	3	3	3	3	2	3	1	1	3	2	2	3	3	3	3	2	2	3	2	1	1	1	2	2	2	1	3	3	1	3	3	3	3	1	1	1992	3	1	2	1	1	2	3	3	3	2	3	2	1	3	2	3	2	2	1	2	3	2	3	3	2	3	3	3	1	1	2	1	3	2	2	2	2	2	3	1	2	2	3	3	3	3	3	3	3	3	2	1	1	2	2	2	2	2	1	1	1992	3	2	2	2	2	2	2	2	2	1	2	1	3	2	2	3	2	2	3	3	2	2	1	3	3	1	1	1	2	1	1	2	3	3	2	1	2	2	3	2	3	2	3	2	2	3	1	1	2	2	2	1	2	3	3	3	2	3																																																																																																																																	
"0902101"	"PRA"	1	46	1							7	1993	1998	5	0	3	3	3	3		1	3	3														1	1	1	1		"3120"	"31202101"		"3"	"1"	"PRA"	3																				1	13	4	19	4	3	4	3	3	1	3	6	1	1	6		3								"W"	1	2	"G74"	"G87"	"G52"	"F11"	3	3	3	3	31	74	20	31	74	20	1	4	"A"	4										4	1	1	3		"G74"	"G87"	1	25			4			8			10			0			10			50			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1993	1	1	1	1	1	1	2	2	3	2	2	2	2	1	1	2	3	3	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	2	2	2	3	3	3	3	3	3	3	3	1	1	1993	1	1	1	1	1	1	2	2	2	3	2	2	2	2	2	1	1	3	2	2	2	2	1	1	1	1	1	3	2	2	2	1	1	1	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	3	3	2	2	2	1	1	1993	1	1	1	1	1	1	2	3	2	2	1	1	1	2	2	2	1	1	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	3	2	2	2	2	3	2	3	3	3	3	3	3	1	1	1	2	2	3	2	2	2	3	2	3																																																																1	1		1	1		1	3	1	1	3	1	1	1		1	1		1	1		1	1		1	1		1	1		1	3	1	1	3	1	1	3	1	3			3																							
"0902251"	"PRA"	1	28	1							7	2007	1998	10	0	3	3	1	1	1	1	1	3														1	1	2	1		"3120"	"31202251"		"3"	"1"	"PRA"	3																				1	13	4	19	4	3	1	3	3	3		1	1	1	1		3								"B"	1	1	"E72"	"G87"	"G52"	"F11"	3	3	3	3	31	74	20	31	74	20	1	5	"A"	5										5	1	1	3		"E72"	"G87"	1	24			4			8			12			0			13			0			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	2007	3	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	3	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	2	2	2	1	1	2007	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	2	2	2	1	2	2	1	2	2	1	1	1	1	1	3	2	1	1	2	1	2	1	1	2	1	3	2	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2007	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	2	1	3	2	1	2	1	1	1	1	1	2	1	3	1	3	1	3																																																																												3			3			1	1		1	1		3			3			1	1		1	1		3			3			3																							
"0902253"	"PRA"	1	36	1							1	1996	1993	11	6	3	3	3	3		1	3	3														1	1	2	1		"3121"	"31202253"		"1"	"1"	"PRA"	3																				1	20	4	26	4	3	2	3	3	1	3	1	1	1	1		3								"A"	1	2	"G72"	"G87"	"G52"	"F11"	3	3	3	3	31	74	20	31	74	20	1	4	"A"	4										4	1	1	3		"G72"	"G87"	1	27			4			8			17			30			18			30			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1996	1	1	2	2	2	2	3	2	3	3	1	1	2	3	3	3	3	3	2	3	3	2	2	1	3	3	3	2	2	2	2	2	3	2	2	2	1	1	3	3	3	3	3	3	3	1	1	1996	1	2	2	1	2	3	3	3	2	3	3	3	2	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	2	2	2	1	3	2	3	2	2	2	3	1	2	3	1	3	3	3	3	3	3	3	3	1	1	3	3	3	3	1	1	1	1996	1	2	1	2	2	2	2	2	2	1	1	3	2	2	2	3	2	2	3	3	3	2	1	3	3	1	3	2	2	2	3	2	3	3	2	1	3	3	3	3	3	2	3	3	3	3	2	1	2	3	3	2	3	3	3	3	2	1	1	1996	1	2	3	2	3	2	3	3	2	1	1	3	2	3	2	2	3	2	3	3	2	3	3	3	2	3	3	3	3	1	2	2	3	3	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	1	3	1	3	3	3	2	2	3			3			1	3	3	1	3	3	3			3			3			3			3			3			3			3			3			3			3			3			3			3			3			3			3			3		
"0902256"	"PRA"	1	44	1							4	1990	2002	6	2	1	3	3	3		1	3	3														1	1	1	1		"3120"	"31202256"		"1"	"1"	"PRA"	3																				1	20	4	26	4	3	3	3	3	3		1	1	1	1		3								"A"	1	1	"G72"	"G87"	"G52"	"F11"	3	3	3	3	31	74	30	31	74	30	3																3		"G72"	"G87"	1	26			4			8			9			20			10			42			1			0	96	1	1		2	3	3	3	"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			"TIDAK ADA"			1	1	1990	1	1	1	2	1	2	1	1	1	2	1	1	3	3	3	3	3	3	1	3	3	2	2	1	2	3	2	1	2	2	2	2	2	2	2	2	1	1	3	3	3	3	3	3	3	1	1	1990	1	1	1	1	1	3	3	3	3	3	3	2	2	3	1	1	1	2	2	3	3	3	3	3	3	3	3	3	1	1	1	1	3	2	3	2	3	3	3	1	1	3	1	3	3	3	3	3	3	3	3	1	1	2	3	3	3	2	1	1	1990	1	2	1	1	1	1	1	3	2	2	2	3	3	1	2	3	2	2	3	3	2	2	1	3	3	1	1	2	1	2	2	1	3	3	2	2	1	2	3	3	3	3	3	3	3	3	1	1	1	3	3	1	3	2	3	3	2	1	1	1990	1	2	2	2	3	2	2	3	2	1	1	3	2	2	2	2	3	2	1	2	2	3	2	2	2	2	2	3	1	1	1	1	3	3	1	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	2	1	2	3	2	2	2	3			3			3			3			3			3			3			3			1	3	3	3			1	3	3	1	3	3	1	3	3	1	3	3	3			3			3			3			3			3			3			3		
